CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
租賃,建物,南港區經貿二路235巷21號,121.616007,25.061166,21,住宅大樓(11層含以上有電梯),1031204,103.97,13,1250.36
租賃,建物,中正區杭州南路一段18巷6號,121.524874,25.038789,4,公寓(5樓含以下無電梯),,33.99,4,1235.66
買賣,房地(土地+建物)+車位,中山區民權東路二段6號,121.528114,25.062424,12,大樓(11層含以上有電梯),681022,39.68,2226,56.1
租賃,建物,文山區景華街66號,121.544977,24.995087,4,公寓(5樓含以下無電梯),640305,30.79,3,844.43
租賃,建物,大同區太原路16號,121.514922,25.049723,12,住宅大樓(11層含以上有電梯),1000418,27.8,5,1870.5
租賃,建物,中正區忠孝東路二段31號,121.527893,25.043883,5,套房(1房(1廳)1衛),620910,6.2,1,1322.58
買賣,房地(土地+建物)+車位,內湖區民權東路六段210巷21弄6號,121.598045,25.066628,9,華廈(10層含以下有電梯),1081111,20.03,1548,77.28
買賣,建物,萬華區成都路66號,121.505294,25.042831,,大樓(11層含以上有電梯),,19.9,600,30.15
買賣,房地(土地+建物)+車位,南港區松河街776號,121.611874,25.06154,,華廈(10層含以下有電梯),,73.15,4000,54.68
買賣,房地(土地+建物),士林區至誠路一段16號,121.537013,25.101278,,公寓(5樓含以下無電梯),,42.53,1780,41.85
買賣,房地(土地+建物),信義區吳興街220巷73弄1號,121.560816,25.026235,,公寓(5樓含以下無電梯),,32.5,2150,66.15
買賣,房地(土地+建物),信義區忠孝東路五段423巷5弄11號,121.574862,25.041716,,公寓(5樓含以下無電梯),,36.99,3000,81.1
買賣,房地(土地+建物)+車位,文山區興隆路三段192巷2弄26號,121.558508,24.99791,,華廈(10層含以下有電梯),,26.47,1135,68.66
買賣,房地(土地+建物),南港區研究院路二段182巷107弄31號,121.612354,25.036501,,透天厝,,30.53,1900,62.23
買賣,房地(土地+建物),大安區仁愛路四段311號,121.552283,25.03817,,大樓(11層含以上有電梯),,25.49,2500,98.08
買賣,房地(土地+建物),北投區中央南路二段11號,121.500551,25.125983,,大樓(11層含以上有電梯),,15.89,790,49.72
買賣,房地(土地+建物),大同區承德路二段191號,121.518422,25.059258,,大樓(11層含以上有電梯),,10.79,800,74.14
買賣,房地(土地+建物)+車位,信義區吳興街284巷59弄6號,121.563427,25.021979,,大樓(11層含以上有電梯),,92.47,6108,70.61
買賣,房地(土地+建物)+車位,文山區政大二街221號,121.586637,24.988786,,華廈(10層含以下有電梯),,75.94,3070,42.9
買賣,房地(土地+建物),中正區信義路二段17巷2弄6號,121.525298,25.035701,,公寓(5樓含以下無電梯),,12.92,1170,90.56
買賣,房地(土地+建物),大安區光復南路308巷41號,121.555931,25.038834,,華廈(10層含以下有電梯),,33.21,3150,94.85
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,59.64,4000,75.57
買賣,房地(土地+建物),中正區寧波東街9巷6號,121.519694,25.032622,,華廈(10層含以下有電梯),,7.82,900,115.09
買賣,房地(土地+建物),南港區經貿二路241號,121.614489,25.06114,,大樓(11層含以上有電梯),,28.91,2050,70.91
買賣,房地(土地+建物),大安區敦化南路一段187巷36號,121.551147,25.042459,,華廈(10層含以下有電梯),,12.56,1170,93.15
買賣,房地(土地+建物)+車位,士林區延平北路五段46號,121.511034,25.080124,,大樓(11層含以上有電梯),,37.25,2068,55.52
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.03,3300,110.12
買賣,房地(土地+建物),大同區西寧北路61號,121.508944,25.054573,,華廈(10層含以下有電梯),,104.6,5021,48
買賣,房地(土地+建物),中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,25.57,2800,109.5
買賣,房地(土地+建物),大安區新生南路一段97巷41號,121.536683,25.041349,,華廈(10層含以下有電梯),,62.21,4768,76.64
