CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
租賃,中正區,建物,忠孝東路二段31號,121.527893 ,25.043883 ,1100406,土地:建物:車位:,三層,005,套房(1房(1廳)1衛),住家用,鋼筋混凝土造,0620910,6.2,1,0,1,有,無,有,1,1322.58,否,,0,0,,,,,此為分租套房，房號302，第3層分成5間，一間平均面積為20.48平方公尺
買賣,內湖區,房地(土地+建物)+車位,民權東路六段210巷21弄6號,121.598045 ,25.066628 ,1100405,土地:1建物:1車位:1,五層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081111,20.03,1,1,1,有,有,,1548,77.28,是,塔式車位1,0,0,有,,,,
租賃,中正區,建物,新生南路一段56號,121.532504 ,25.041194 ,1100406,土地:建物:1車位:1,九層,015,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0981222,124.9,1,1,2,有,有,有,19,1506.55,是,坡道平面1,13.24,0,,,,,
租賃,大同區,建物,民權西路101號,121.518702 ,25.063075 ,1100406,土地:建物:2車位:,九層,013,辦公商業大樓,商業用,鋼筋混凝土造,0710713,45,,,,無,無,無,6,1222.22,否,,0,0,,,,,
買賣,萬華區,建物,成都路66號,121.505294 ,25.042831 ,1100409,土地:0建物:2車位:,八層,,大樓(11層含以上有電梯),住家用,,,19.9,2,1,1,有,有,,600,30.15,-,,0,0,有,,,,特殊交易標的類型：地上權房屋。本案為兩戶打通使用。
買賣,南港區,房地(土地+建物)+車位,松河街776號,121.611874 ,25.061540 ,1100325,土地:1建物:1車位:3,"一層,見其他登記事項",,華廈(10層含以下有電梯),住家用,,,73.15,4,2,2,有,有,,4000,54.68,是,坡道平面3,16.51,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,士林區,房地(土地+建物),至誠路一段16號,121.537013 ,25.101278 ,1100405,土地:3建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,42.53,3,2,2,有,無,,1780,41.85,否,,0,0,無,,,,建築物含有：陽台外推。
買賣,南港區,土地,麗山段二小段91號,121.592799 ,25.057417 ,1100409,土地:11建物:0車位:,,,,,,,0,,,,無,無,,750,0.4,-,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。土地上有：未登記建物、農作物。
買賣,萬華區,土地,華中段一小段241號,121.507076 ,25.048087 ,1100422,土地:1建物:0車位:,,,,,,,0,,,,無,無,,320,69.87,-,,0,0,無,,,,
買賣,信義區,房地(土地+建物),吳興街220巷73弄1號,121.560816 ,25.026235 ,1100320,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,32.5,5,2,2,有,無,,2150,66.15,否,,0,0,無,,,,
