CASE_T,DISTRICT,CASE_F,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,RMNOTE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA
租賃,南港區,建物,重陽路266-270號(單號),0,,1100226,土地:建物:1車位:,四層,012,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1030328,106.28,,,,無,有,有,10,893.87,否,,0,0,,,,,
租賃,信義區,房地(土地+建物),基隆路二段96-100號(雙號),0,,1100226,土地:0建物:1車位:,見其他登記事項,004,店面(店鋪),商業用,鋼筋混凝土造,0620924,56.71,1,2,0,有,無,無,12,2116.03,否,,0,0,"含增建或未登記建物。民國110年3月1日至110年3月31日為免租金裝潢期,租金含稅,地下一樓不得作商業用途，只能倉庫用途，本次租賃標的有增建地下一樓使用空間，加蓋一房一通",,,,
租賃,信義區,建物,永吉路278巷28弄6-10號(雙號),0,,1100227,土地:建物:1車位:,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,24.65,3,1,1,有,無,有,3,1135.9,否,,0,0,住宅及都市更新中心108年社會住宅包租代管第二期計畫,,,,
租賃,中山區,建物,新生北路二段106-110號(雙號),0,,1100225,土地:建物:1車位:,五層,014,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0760305,10.52,1,0,1,有,無,有,1,1026.62,否,,0,0,,,,,
買賣,內湖區,房地(土地+建物),文德路231-235號(雙號),7.45,,1100315,土地:2建物:1車位:,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781019,29.08,2,2,2,有,有,,880,30.26,否,,0,0,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,有,,,
租賃,文山區,建物,景仁街77巷5弄1-5號(單號),0,,1100225,土地:建物:1車位:,一層,004,公寓(5樓含以下無電梯),住家用,磚造,,26.7,3,2,2,有,無,有,3,1123.6,否,,0,0,含增建或未登記建物。,,,,
租賃,文山區,建物,福興路95巷36-40號(單號),0,,1100227,土地:建物:1車位:,四層,010,套房(1房(1廳)1衛),共有部分,鋼筋混凝土造,0890626,8.58,1,0,1,有,有,有,1,1048.95,否,,0,0,,,,,
租賃,中山區,建物,林森北路107巷66-70號(單號),0,,1100226,土地:建物:1車位:,四層,007,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010210,23.37,2,1,1,有,有,有,5,1925.55,否,,0,0,租賃範圍不含車位，且無法區分車位面積。含管理費、稅金或水電等費用。,,,,
租賃,內湖區,建物,內湖路一段411巷74弄11-15號(單號),0,,1100225,土地:建物:1車位:1,九層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990913,80.4,3,2,2,有,無,有,7,870.65,是,坡道平面1,9.57,0,,,,,
租賃,大同區,建物,南京西路18巷6-10號(雙號),0,,1100226,土地:建物:1車位:,三層,009,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1001129,22.02,2,1,1,有,有,有,5,2111.72,否,,0,0,含管理費、稅金或水電等費用。續租。,,,,
租賃,中山區,建物,南京東路二段6-10號(單號),0,,1100226,土地:建物:車位:,五層,008,套房(1房(1廳)1衛),住商用,鋼筋混凝土造,0580616,10.06,1,0,1,有,無,有,1,1341.95,否,,0,0,此為分租套房，第五層共分成4間，一間平均面積約為33.27平方公尺。,,,,
租賃,士林區,建物,天母東路43巷4弄11-15號(雙號),0,,1100226,土地:建物:1車位:,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850605,54.54,3,2,2,有,有,有,5,971.76,否,,0,0,含管理費、稅金或水電等費用。,,,,
租賃,大安區,建物,泰順街40巷10弄1-5號(單號),0,,1100226,土地:建物:1車位:,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771223,8.98,1,,,無,無,有,1,1447.66,否,,0,0,,,,,
租賃,中正區,建物,杭州南路二段51-55號(雙號),0,,1100222,土地:建物:1車位:,一層,007,華廈(10層含以下有電梯),共有部分,鋼筋混凝土造,0800702,10.15,0,0,1,有,無,無,2,1576.35,否,,0,0,,,,,
租賃,士林區,建物,建業路31-35號(雙號),0,,1100228,土地:建物:1車位:,四層,004,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060405,8.01,1,0,1,有,有,有,1,1622.97,否,,0,0,台北市都發局社會住宅包租代管第2期計畫,,,,
租賃,士林區,建物,建業路31-35號(雙號),0,,1100228,土地:建物:1車位:,一層,004,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060405,8,1,0,1,有,有,有,1,1625,否,,0,0,台北市都發局社會住宅包租代管第2期計畫,,,,
租賃,中正區,建物,青島東路1-5號(單號),0,,1100225,土地:建物:1車位:,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0631108,49.84,,,,無,無,有,7,1403.97,否,,0,0,,,,,
租賃,大安區,建物,信義路二段198巷41-45號(雙號),0,,1100227,土地:建物:1車位:,六層,006,套房(1房(1廳)1衛),住家用,鋼筋混凝土造,0841003,13.38,0,1,1,有,有,有,3,2167.41,否,,0,0,租金含管理費。,,,,
租賃,士林區,建物,文林路256-260號(單號),0,,1100226,土地:建物:1車位:,見其他登記事項,003,店面(店鋪),住商用,磚造,0510306,39.44,0,3,3,有,無,有,7,1774.85,否,,0,0,"租金含管理費。
自民國110年04月21日起，至民國113年03月03日止。每月租金新台幣70,000元整，每月03日以前繳納。
自民國113年03月04日起，至民國115年03月03日止。每月租金新台幣75,000元整，每月03日以前繳納。",,,,
租賃,中山區,建物,林森北路361-365號(單號),0,,1100224,土地:建物:1車位:,八層,018,辦公商業大樓,商業用,鋼筋混凝土造,0980916,20.15,1,1,1,有,有,有,5,2481.39,否,,0,0,含管理費、稅金或水電等費用。續租。,,,,
租賃,中山區,建物,中山北路二段93巷1-5號(單號),0,,1100301,土地:建物:1車位:1,四層,009,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860718,60.61,3,2,2,有,有,有,6,940.44,是,升降平面1,0,0,租金含管理費。車位面積無法分算。,,,,
租賃,信義區,建物,吳興街156巷1-5號(單號),0,,1100224,土地:建物:1車位:,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,21.76,2,1,1,有,無,有,2,873.16,否,,0,0,住宅及都市更新中心108年社會住宅包租代管第二期計畫,,,,
租賃,信義區,建物,基隆路二段21-25號(雙號),0,,1100223,土地:建物:1車位:,三層,012,辦公商業大樓,商業用,鋼筋混凝土造,0690421,30.86,3,2,2,有,有,有,3,988.33,否,,0,0,,,,,
租賃,南港區,建物,興華路64巷1-5號(單號),0,,1100227,土地:建物:1車位:1,十層,013,住宅大樓(11層含以上有電梯),共有部分,鋼筋混凝土造,0971030,43.05,3,2,2,有,無,有,5,1231.13,是,坡道平面1,0.8,0,,,,,
買賣,大同區,車位,環河北路二段286-290號(單號),0.33,,1100316,土地:2建物:1車位:1,"地下一層,地下二層",,,見其他登記事項,,,4.66,,,,有,有,,111,0,-,坡道機械1,4.66,111,僅車位交易。,有,,,
買賣,大安區,房地(土地+建物),羅斯福路三段276-280號(單號),7.73,,1100204,土地:1建物:1車位:,六層,,華廈(10層含以下有電梯),商業用,,,65.96,2,1,1,有,有,,5000,75.8,否,,0,0,,有,,,
買賣,南港區,房地(土地+建物)+車位,重陽路266-270號(單號),18.3,,1100307,土地:1建物:1車位:3,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,屋頂突出物,地下一層,地下二層,地下三層,地下四層",,大樓(11層含以上有電梯),見其他登記事項,,,121.32,0,1,0,有,有,,6420,53.35,否,坡道平面3,15.04,750,建築物含有：陽台外推。,有,,,
買賣,信義區,車位,吳興街118巷15弄1-5號(單號),0.16,,1100312,土地:1建物:1車位:1,地下二層,,,見使用執照,,,3.67,,,,有,無,,90,0,-,升降機械1,3.67,90,僅車位交易。,有,,,
買賣,中正區,房地(土地+建物)+車位,汀州路一段236-240號(單號),5.8,,1100304,土地:1建物:1車位:1,七層,,華廈(10層含以下有電梯),見其他登記事項,,,28.72,1,1,1,有,有,,1905,66.33,是,升降機械1,3.37,0,,有,,,
買賣,萬華區,房地(土地+建物),環河南路二段161-165號(單號),4.56,,1100131,土地:1建物:1車位:,六層,,大樓(11層含以上有電梯),住家用,,,28.67,3,2,1,有,有,,1355,47.26,否,,0,0,建築物含有：陽台外推、其他增建。,有,,,
買賣,文山區,房地(土地+建物)+車位,羅斯福路六段406-410號(單號),1.65,,1100228,土地:1建物:1車位:1,五層,,大樓(11層含以上有電梯),住家用,,,23.09,2,1,1,有,有,,1250,71.2,否,坡道機械1,7.64,150,,有,,,
買賣,信義區,房地(土地+建物),吳興街600巷100弄51-55號(單號),7.56,,1100228,土地:5建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,27.04,5,3,2,有,無,,1260,46.6,否,,0,0,建築物含有：頂樓加蓋。,無,,,
